TelephonyManager;android.telephony.TelephonyManager;getAllCellInfo;geolocation;ACCESS_COARSE_LOCATION,ACCESS_FINE_LOCATION;Sensitive
TelephonyManager;android.telephony.TelephonyManager;getCarrierConfig;Carrier Settings;READ_PHONE_STATE;Confidential
TelephonyManager;android.telephony.TelephonyManager;getCellLocation;geolocation;ACCESS_FINE_LOCATION;Sensitive
TelephonyManager;android.telephony.TelephonyManager;getDeviceId;Device ID,IMEI,MEID,ESN;READ_PRIVILEGED_PHONE_STATE,READ_PHONE_STATE;Personal
TelephonyManager;android.telephony.TelephonyManager;getEmergencyNumberList;Emergency Number List;READ_PHONE_STATE;Personal
TelephonyManager;android.telephony.TelephonyManager;getGroupIdLevel1;Group Identifier Level 1,GID1,EF_AD,Phone Number;READ_PHONE_STATE;Personal
TelephonyManager;android.telephony.TelephonyManager;getImei;IMEI;READ_PRIVILEGED_PHONE_STATE,READ_PHONE_STATE;Personal
TelephonyManager;android.telephony.TelephonyManager;getLine1Number;Phone Number,MSISDN;READ_PHONE_STATE,READ_SMS,READ_PHONE_NUMBERS;Personal
TelephonyManager;android.telephony.TelephonyManager;getMeid;MEID;READ_PRIVILEGED_PHONE_STATE;Personal
TelephonyManager;android.telephony.TelephonyManager;getNai;NAI;READ_PRIVILEGED_PHONE_STATE;Personal
TelephonyManager;android.telephony.TelephonyManager;getNetworkCountryIso;Network Country ISO;;Public
TelephonyManager;android.telephony.TelephonyManager;getNetworkOperator;Network Operator Information;;Public
TelephonyManager;android.telephony.TelephonyManager;getNetworkOperatorName;Network Operator Information;;Public
TelephonyManager;android.telephony.TelephonyManager;getNetworkType;Network Type;READ_PHONE_STATE;Non-personal
TelephonyManager;android.telephony.TelephonyManager;getPrimaryImei;IMEI;READ_PRIVILEGED_PHONE_STATE;Personal
TelephonyManager;android.telephony.TelephonyManager;getServiceState;Phone State,Service Information;READ_PHONE_STATE,ACCESS_COARSE_LOCATION;Personal
TelephonyManager;android.telephony.TelephonyManager;getSimCarrierId;Phone State,Service Information;SIM Carrier ID;Personal
TelephonyManager;android.telephony.TelephonyManager;getSimCarrierIdName;SIM Carrier Name;;Public
TelephonyManager;android.telephony.TelephonyManager;getSimCountryIso;SIM Country ISO;;Public
TelephonyManager;android.telephony.TelephonyManager;getSimOperator;SIM Operator Code;;Public
TelephonyManager;android.telephony.TelephonyManager;getSimOperatorName;SIM Operator Name;;Public
TelephonyManager;android.telephony.TelephonyManager;getSimSerialNumber;SIM Serial Number;;Public
TelephonyManager;android.telephony.TelephonyManager;getSimSpecificCarrierId;SIM Carrier ID;;Public
TelephonyManager;android.telephony.TelephonyManager;getSimSpecificCarrierIdName;SIM Carrier Name;;Public
TelephonyManager;android.telephony.TelephonyManager;getSubscriberId;Subscriber ID;;Public
TelephonyManager;android.telephony.TelephonyManager;getSubscriptionId;Subscription ID;;Public
TelephonyManager;android.telephony.TelephonyManager;getVoiceMailAlphaTag;Voice Mail ID;READ_PHONE_STATE;Personal
TelephonyManager;android.telephony.TelephonyManager;getVoiceMailNumber;Voice Mail Number;READ_PHONE_STATE;Personal
ContentResolver;android.content.ContentResolver;getCurrentSync;Synced Data;READ_SYNC_STATS;Non-personal
ContentResolver;android.content.ContentResolver;getCurrentSyncs;Synced Data;READ_SYNC_STATS;Non-personal
ContentResolver;android.content.ContentResolver;getOutgoingPersistedUriPermissions;URI Data;;Public
ContentResolver;android.content.ContentResolver;getPeriodicSyncs;Synced Data;READ_SYNC_STATS;Non-personal
ContentResolver;android.content.ContentResolver;getPersistedUriPermissions;URI Data;;Public
BluetoothAdapter;android.bluetooth.BluetoothAdapter;getAddress;MAC address;BLUETOOTH,BLUETOOTH_CONNECT;Personal
BluetoothAdapter;android.bluetooth.BluetoothAdapter;getBondedDevices;Paired Bluetooth Devices;BLUETOOTH,BLUETOOTH_CONNECT;Personal
BluetoothAdapter;android.bluetooth.BluetoothAdapter;getName;Device Bluetooth Name;BLUETOOTH,BLUETOOTH_CONNECT;Non-personal
BluetoothAdapter;android.bluetooth.BluetoothAdapter;getRemoteDevice;Bluetooth Device;BLUETOOTH,BLUETOOTH_CONNECT;Non-personal
DownloadManager;android.app.DownloadManager;addCompletedDownload;User Files;;Public
DownloadManager;android.app.DownloadManager;getUriForDownloadedFile;User Files;;Public
DownloadManager;android.app.DownloadManager;openDownloadedFile;User Files;;Public
DownloadManager;android.app.DownloadManager;query;User Files;;Public
ConnectivityManager;android.net.ConnectivityManager;getActiveNetworkInfo;Network Information;ACCESS_NETWORK_STATE;Non-personal
ConnectivityManager;android.net.ConnectivityManager;getAllNetworkInfo;Network Information;ACCESS_NETWORK_STATE;Non-personal
ConnectivityManager;android.net.ConnectivityManager;getAllNetworks;Network Information;ACCESS_NETWORK_STATE;Non-personal
ConnectivityManager;android.net.ConnectivityManager;getConnectionOwnerUid;App UID;ACCESS_NETWORK_STATE;Personal
ConnectivityManager;android.net.ConnectivityManager;getLinkProperties;Network Information;ACCESS_NETWORK_STATE;Non-personal
ConnectivityManager;android.net.ConnectivityManager;getNetworkCapabilities;Network Information;ACCESS_NETWORK_STATE;Non-personal
ConnectivityManager;android.net.ConnectivityManager;getNetworkInfo;Network Information;ACCESS_NETWORK_STATE;Non-personal
ConnectivityManager;android.net.ConnectivityManager;getProcessDefaultNetwork;APP Network;;Public
ConnectivityManager;android.net.ConnectivityManager;getBoundNetworkForProcess;APP Network;;Public
ConnectivityManager;android.net.ConnectivityManager;isActiveNetworkMetered;Network Type;ACCESS_NETWORK_STATE;Non-personal
